Kommunenr,Kommunenavn,Fylkenr,Fylkenavn,IMDiRegion,Næringsregionnr,Næringsregion_ navn,Sentralitet_nr_2008,Sentralitet_kat_2008,Validity
0439,Folldal,4,Hedmark,IMDi Indre Øst,10,Fjellregionen,0,Minst Sentrale kommuner,valid
0441,Os (Hedm.),4,Hedmark,IMDi Indre Øst,10,Fjellregionen,0,Minst Sentrale kommuner,valid
0501,Lillehammer,5,Oppland,IMDi Indre Øst,16,Lillehammerregionen,2,Noe Sentrale kommuner,valid
0502,Gjøvik,5,Oppland,IMDi Indre Øst,14,Gjøvikregionen,2,Noe Sentrale kommuner,valid
0511,Dovre,5,Oppland,IMDi Indre Øst,18,Nord-Gudbrandsdal,0,Minst Sentrale kommuner,valid
0512,Lesja,5,Oppland,IMDi Indre Øst,18,Nord-Gudbrandsdal,0,Minst Sentrale kommuner,valid
0513,Skjåk,5,Oppland,IMDi Indre Øst,18,Nord-Gudbrandsdal,0,Minst Sentrale kommuner,valid
0514,Lom,5,Oppland,IMDi Indre Øst,18,Nord-Gudbrandsdal,0,Minst Sentrale kommuner,valid
0515,Vågå,5,Oppland,IMDi Indre Øst,18,Nord-Gudbrandsdal,0,Minst Sentrale kommuner,valid
0516,Nord-Fron,5,Oppland,IMDi Indre Øst,17,Midt-Gudbrandsdal,0,Minst Sentrale kommuner,valid
0517,Sel,5,Oppland,IMDi Indre Øst,18,Nord-Gudbrandsdal,0,Minst Sentrale kommuner,valid
0519,Sør-Fron,5,Oppland,IMDi Indre Øst,17,Midt-Gudbrandsdal,2,Noe Sentrale kommuner,valid
0520,Ringebu,5,Oppland,IMDi Indre Øst,17,Midt-Gudbrandsdal,2,Noe Sentrale kommuner,valid
0521,Øyer,5,Oppland,IMDi Indre Øst,16,Lillehammerregionen,2,Noe Sentrale kommuner,valid
0522,Gausdal,5,Oppland,IMDi Indre Øst,16,Lillehammerregionen,2,Noe Sentrale kommuner,valid
0528,Østre Toten,5,Oppland,IMDi Indre Øst,14,Gjøvikregionen,2,Noe Sentrale kommuner,valid
0529,Vestre Toten,5,Oppland,IMDi Indre Øst,14,Gjøvikregionen,2,Noe Sentrale kommuner,valid
0532,Jevnaker,5,Oppland,IMDi Indre Øst,15,Hadeland,3,Sentrale kommuner,valid
0533,Lunner,5,Oppland,IMDi Indre Øst,15,Hadeland,3,Sentrale kommuner,valid
0534,Gran,5,Oppland,IMDi Indre Øst,15,Hadeland,3,Sentrale kommuner,valid
0536,Søndre Land,5,Oppland,IMDi Indre Øst,14,Gjøvikregionen,2,Noe Sentrale kommuner,valid
0538,Nordre Land,5,Oppland,IMDi Indre Øst,14,Gjøvikregionen,2,Noe Sentrale kommuner,valid
0540,Sør-Aurdal,5,Oppland,IMDi Indre Øst,19,Valdres,0,Minst Sentrale kommuner,valid
0541,Etnedal,5,Oppland,IMDi Indre Øst,19,Valdres,2,Noe Sentrale kommuner,valid
0542,Nord-Aurdal,5,Oppland,IMDi Indre Øst,19,Valdres,0,Minst Sentrale kommuner,valid
0543,Vestre Slidre,5,Oppland,IMDi Indre Øst,19,Valdres,0,Minst Sentrale kommuner,valid
0544,Øystre Slidre,5,Oppland,IMDi Indre Øst,19,Valdres,0,Minst Sentrale kommuner,valid
0545,Vang,5,Oppland,IMDi Indre Øst,19,Valdres,0,Minst Sentrale kommuner,valid
0602,Drammen,6,Buskerud,IMDi Indre Øst,20,Drammensregionen,3,Sentrale kommuner,valid
